t,host,operation,status,error,latency
1709479624.8178003,43.0.celestial,get,success,,0.01090550422668457
1709479624.9328191,43.0.celestial,get,success,,0.010574817657470703
1709479625.046816,43.0.celestial,get,success,,0.010762214660644531
1709479625.1618311,43.0.celestial,get,success,,0.010404586791992188
1709479625.275487,43.0.celestial,set,success,,0.010734796524047852
1709479625.390217,43.0.celestial,set,success,,0.011023759841918945
1709479625.506612,43.0.celestial,set,success,,0.010963916778564453
1709479625.6223032,43.0.celestial,set,success,,0.010818243026733398
1709479625.7409978,43.0.celestial,set,success,,0.011659622192382812
1709479625.857174,43.0.celestial,set,success,,0.010685443878173828
1709479625.973106,43.0.celestial,del,success,,0.010979890823364258
1709479626.0889478,43.0.celestial,get,success,,0.011018514633178711
1709479626.204547,43.0.celestial,get,success,,0.010675191879272461
1709479626.3186429,43.0.celestial,get,success,,0.010524749755859375
1709479626.432866,43.0.celestial,get,success,,0.01052546501159668
1709479626.5467875,43.0.celestial,del,success,,0.010552167892456055
1709479626.6606305,43.0.celestial,del,success,,0.010618209838867188
1709479626.7752838,43.0.celestial,del,success,,0.011295318603515625
1709479626.8907156,43.0.celestial,set,success,,0.010692358016967773
1709479627.0048802,43.0.celestial,get,success,,0.010535955429077148
1709479627.1188416,43.0.celestial,get,success,,0.010963916778564453
1709479627.2332177,43.0.celestial,get,success,,0.010579586029052734
1709479627.3471642,43.0.celestial,get,success,,0.011427640914916992
1709479627.4634233,43.0.celestial,del,success,,0.012716293334960938
1709479627.5793118,43.0.celestial,set,success,,0.011222124099731445
1709479627.6942685,43.0.celestial,set,success,,0.010522603988647461
1709479627.8086233,43.0.celestial,set,success,,0.010504961013793945
1709479627.9222553,43.0.celestial,set,success,,0.01047968864440918
1709479628.036463,43.0.celestial,del,success,,0.010501861572265625
1709479628.150164,43.0.celestial,set,success,,0.010642051696777344
1709479628.2646437,43.0.celestial,get,success,,0.010504961013793945
1709479628.3783617,43.0.celestial,get,success,,0.010329008102416992
1709479628.4928584,43.0.celestial,get,success,,0.012052774429321289
1709479628.6091905,43.0.celestial,set,success,,0.011155128479003906
1709479628.723998,43.0.celestial,get,success,,0.010338783264160156
1709479628.8379045,43.0.celestial,del,success,,0.010183572769165039
1709479628.951184,43.0.celestial,get,success,,0.010864734649658203
1709479629.0651605,43.0.celestial,get,success,,0.01027679443359375
1709479629.1791363,43.0.celestial,set,success,,0.012135505676269531
1709479629.294334,43.0.celestial,del,success,,0.010366201400756836
1709479629.4083257,43.0.celestial,del,success,,0.010381937026977539
1709479629.5224082,43.0.celestial,set,success,,0.010362625122070312
1709479629.6369383,43.0.celestial,get,success,,0.010657548904418945
1709479629.7514825,43.0.celestial,set,fail,Timeout reading from socket,0.10569119453430176
1709479629.959583,43.0.celestial,get,fail,Timeout connecting to server,0.10756635665893555
1709479630.1701307,43.0.celestial,set,fail,Timeout connecting to server,0.10725665092468262
1709479630.3804173,43.0.celestial,set,fail,Timeout connecting to server,0.10695242881774902
1709479630.5904946,43.0.celestial,del,fail,Timeout connecting to server,0.10738205909729004
1709479630.8008223,43.0.celestial,get,fail,Timeout connecting to server,0.10755753517150879
1709479631.011341,43.0.celestial,del,fail,Timeout connecting to server,0.10694479942321777
1709479631.2207062,43.0.celestial,get,fail,Timeout connecting to server,0.1079099178314209
1709479631.430924,43.0.celestial,del,fail,Timeout connecting to server,0.10724258422851562
1709479631.6405528,43.0.celestial,del,fail,Timeout connecting to server,0.10809612274169922
1709479631.8509872,43.0.celestial,get,fail,Timeout connecting to server,0.10745048522949219
1709479632.0608983,43.0.celestial,set,fail,Timeout connecting to server,0.10827445983886719
1709479632.2716691,43.0.celestial,get,fail,Timeout connecting to server,0.1074669361114502
1709479632.4822445,43.0.celestial,del,fail,Timeout connecting to server,0.10760760307312012
1709479632.693423,43.0.celestial,del,fail,Timeout connecting to server,0.10703682899475098
1709479632.9028454,43.0.celestial,get,fail,Timeout connecting to server,0.10755467414855957
1709479633.113362,43.0.celestial,del,fail,Timeout connecting to server,0.10683059692382812
