t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1709390474.4645715,43.0.celestial,41.0.celestial,103701986.07444763,12570571.184158325,11916550,3279165,101206,3161417,2841270,2512014,85955587,1315865,2841270,91131414.8902893,79320235,32760213,4,1315865,32680993
1709390585.556684,41.0.celestial,40.0.celestial,105823788.88130188,12300011.396408081,11686000,2967522,770,2949244,2681766,2368260,85955587,1315865,2681766,93523777.4848938,81808859,34125236,3,1315865,34067482
1709390697.314728,40.0.celestial,39.0.celestial,106523490.19050598,12980356.931686401,12394826,3124013,1057,3108370,2840926,2396659,85955587,1315865,2840926,93543133.25881958,81899636,33519988,4,1315865,33444948
1709390809.0684755,39.0.celestial,37.0.celestial,106470295.9060669,12573125.839233398,11963610,2968570,101140,2852986,2582456,2389425,85955925,1315867,2582456,93897170.0668335,81827978,34402281,4,1315867,34331167
1709390920.4900749,37.0.celestial,36.0.celestial,106161089.89715576,12156221.866607666,11578295,2978740,901,2962834,2686414,2407486,85956094,1315868,2686414,94004868.0305481,82307170,33819850,5,1315868,33738600
1709391032.5903687,36.0.celestial,34.0.celestial,106791938.5433197,12777813.196182251,12148090,2965931,936,2948583,2681313,2389298,85956094,1315868,2681313,94014125.34713745,82341705,33742267,4,1315868,33650271
1709391146.3599124,34.0.celestial,33.0.celestial,108540217.63801575,13550752.401351929,12933564,3131451,101446,3015329,2742591,2419042,85956094,1315868,2742591,94989465.23666382,83185467,34592838,6,1315868,34537497
1709391260.7118187,33.0.celestial,32.0.celestial,109094742.29812622,12616524.21951294,12042586,2956558,912,2940777,2668331,2392131,85956263,1315869,2668331,96478218.07861328,84705915,34395834,4,1315869,34304843
1709391374.6721563,32.0.celestial,30.0.celestial,108692969.56062317,12444524.049758911,11832155,2921134,854,2904068,2627707,2408953,85956263,1315869,2627707,96248445.51086426,84410962,34824028,4,1315869,34728364
1709391490.8801713,30.0.celestial,29.0.celestial,110961687.56484985,12985119.581222534,12381428,3349329,101412,3229674,2936185,2492664,85956263,1315869,2936185,97976567.98362732,86131874,35962019,4,1315869,35864152
1709391606.579851,29.0.celestial,28.0.celestial,110444183.34960938,12701916.217803955,12052268,3092659,1089,3075682,2797599,2414104,85956263,1315869,2797599,97742267.13180542,85796780,35157758,4,1315869,35067005
1709391722.9517767,28.0.celestial,26.0.celestial,111101759.19532776,12984074.592590332,12275826,3067467,828,3051013,2772570,2448115,85956263,1315869,2772570,98117684.60273743,86089123,36015496,4,1315869,35922486
1709391839.7435918,26.0.celestial,25.0.celestial,111531598.80638123,12739707.469940186,12080377,2850215,939,2834897,2562066,2398429,85956432,1315870,2562066,98791891.33644104,86908552,35579614,4,1315870,35512649
1709391956.5087783,25.0.celestial,23.0.celestial,111499455.69038391,12910363.19732666,12291848,2874887,1095,2858730,2584767,2417015,85956432,1315870,2584767,98589092.49305725,86735940,36338115,4,1315870,36265593
1709392078.7030742,23.0.celestial,22.0.celestial,116950654.98352051,13326988.220214844,12699956,3004693,811,2988033,2714780,2429435,85956432,1315870,2714780,103623666.76330566,91731280,39924232,6,1315870,39855649
1709392208.9551167,22.0.celestial,20.0.celestial,124971943.1400299,13014603.13796997,12390117,2958198,1025,2939844,2665109,2499036,85956432,1315870,2665109,111957340.00205994,100072175,42871699,4,1315870,42782408
1709392338.5689278,20.0.celestial,19.0.celestial,124353569.74601746,13155730.485916138,12542904,3777775,101110,3660683,3387712,2967029,85956601,1315871,3387712,111197839.26010132,99130390,41183549,4,1315871,41119786
1709392470.8360062,19.0.celestial,17.0.celestial,126969441.65229797,12826334.953308105,12166162,3464630,1288,3441999,3165000,2911706,85956601,1315871,3165000,114143106.69898987,101822745,43312002,4,1315871,43205032
1709392602.6471334,17.0.celestial,16.0.celestial,126554464.10179138,13441876.17301941,12809581,3301007,1087,3284210,3004312,2843499,85956601,1315871,3004312,113112587.92877197,101494038,43907701,5,1315871,43836802
1709392737.497571,16.0.celestial,14.0.celestial,129562583.2080841,13544826.984405518,12921991,3652212,1490,3629859,3313756,3096552,85956601,1315871,3313756,116017756.22367859,104386442,46093464,3,1315871,45979758
