t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1709471713.2791111,31.0.celestial,30.0.celestial,5718100.786209106,1777441.7400360107,1545758,250645,101186,133503,96312,86540,85336,28498,96312,3940659.0461730957,2292209,868076,4,28498,801977
1709471795.360832,30.0.celestial,29.0.celestial,5424067.974090576,1555608.5109710693,1344447,235115,101306,116685,80259,73851,85336,28498,80259,3868459.463119507,2226099,856108,3,28498,766711
1709471877.258122,29.0.celestial,28.0.celestial,5432408.094406128,1474768.877029419,1243759,139334,1078,123529,85485,76557,85336,28498,85485,3957639.217376709,2260330,891599,3,28498,802657
1709471965.8522654,28.0.celestial,27.0.celestial,5541280.746459961,1562658.7867736816,1305183,121684,812,105182,68639,58299,85336,28495,68639,3978621.9596862793,2260123,858368,3,28495,768505
1709472048.0470467,27.0.celestial,26.0.celestial,5585899.353027344,1521071.434020996,1323080,223614,101293,105106,65047,55035,85336,28495,65047,4064827.9190063477,2269335,878340,3,28495,796624
1709472129.9652808,26.0.celestial,25.0.celestial,5395859.479904175,1424481.8687438965,1221357,150757,945,133573,96975,85443,85336,28495,96975,3971377.6111602783,2225322,896604,5,28495,809499
1709472212.1194217,25.0.celestial,24.0.celestial,5550153.017044067,1610547.5425720215,1385040,261662,101334,144546,106991,97052,85336,28495,106991,3939605.474472046,2225081,874613,4,28495,785203
1709472294.2610626,24.0.celestial,23.0.celestial,5518234.2529296875,1599196.195602417,1374566,123876,1187,107588,71555,64852,85336,28495,71555,3919038.0573272705,2243090,870928,4,28495,788086
1709472381.220385,23.0.celestial,22.0.celestial,5412684.440612793,1420300.9605407715,1214094,142997,1113,126106,87337,77480,85336,28495,87337,3992383.4800720215,2314920,899730,4,28495,812386
1709472464.2922006,22.0.celestial,21.0.celestial,5625134.706497192,1653867.9599761963,1402233,119463,1293,101990,67143,60719,85336,28495,67143,3971266.746520996,2213944,847756,4,28495,787168
