t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1709473782.03454,30.0.celestial,29.0.celestial,16600639.343261719,4688959.836959839,4404632,401320,970,385697,329487,301808,1511639,140070,329487,11911679.50630188,9281239,3743220,4,140070,3659707
1709473864.620328,29.0.celestial,28.0.celestial,16697135.210037231,4699861.288070679,4443015,431325,879,415275,359689,309230,1511639,140069,359689,11997273.921966553,9356995,3770409,3,140069,3683910
1709473952.4023275,28.0.celestial,27.0.celestial,16822300.19569397,4852660.894393921,4569760,393037,1119,376916,319421,280074,1511639,140069,319421,11969639.301300049,9308782,3730882,3,140069,3653687
1709474036.4387658,27.0.celestial,26.0.celestial,17139714.95628357,5075579.881668091,4833183,491859,101352,375181,316063,276539,1511636,140066,316063,12064135.074615479,9407152,3748810,3,140066,3674502
1709474114.3954828,26.0.celestial,25.0.celestial,16937238.454818726,5098229.885101318,4829111,423871,1540,405829,346430,304390,1511636,140066,346430,11839008.569717407,9233075,3722644,3,140066,3642369
1709474201.8230622,25.0.celestial,24.0.celestial,16479223.251342773,4425432.443618774,4158890,385166,800,369354,311726,273243,1511636,140066,311726,12053790.807723999,9412142,3738326,4,140066,3650777
1709474284.8479207,24.0.celestial,23.0.celestial,16804669.618606567,4992734.670639038,4711859,513896,101413,395875,338234,296065,1511636,140066,338234,11811934.94796753,9264052,3743378,3,140066,3654241
1709474368.099721,23.0.celestial,22.0.celestial,16581626.892089844,4700156.450271606,4415468,506279,101332,388009,329260,280926,1511636,140066,329260,11881470.441818237,9192851,3681846,4,140066,3610741
1709474452.2957573,22.0.celestial,21.0.celestial,16666754.484176636,4573099.374771118,4305786,380156,1183,363494,303844,256814,1511636,140066,303844,12093655.109405518,9375239,3764378,4,140066,3668856
1709474534.9473338,21.0.celestial,20.0.celestial,16521045.446395874,4716413.736343384,4490054,393129,980,376988,319696,268601,1511636,140066,319696,11804631.71005249,9203858,3723116,4,140066,3639876
