t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1709475730.4261582,32.0.celestial,31.0.celestial,31543713.808059692,9016362.190246582,8707419,732735,994,716862,634360,544260,4768707,279531,634360,22527351.61781311,18661396,7742360,4,279531,7660783
1709475814.6047132,31.0.celestial,30.0.celestial,31692078.351974487,8781605.48210144,8515427,830187,101128,712584,627875,547038,4768707,279531,627875,22910472.869873047,18918179,7800983,4,279531,7739615
1709475893.6733603,30.0.celestial,29.0.celestial,31683158.39767456,9202787.87612915,8881484,727831,767,711097,625323,570752,4768707,279530,625323,22480370.52154541,18691672,7775288,3,279530,7684833
1709475976.7430394,29.0.celestial,28.0.celestial,30802193.641662598,8147813.081741333,7860911,838257,101289,721234,635301,554998,4768707,279530,635301,22654380.559921265,18820456,7851828,3,279530,7774113
1709476060.02586,28.0.celestial,27.0.celestial,31223026.037216187,8592183.589935303,8269024,871115,101211,755338,670089,567378,4768707,279530,670089,22630842.447280884,18733741,7679183,3,279530,7591810
1709476146.7440217,27.0.celestial,26.0.celestial,31649694.204330444,8685464.62059021,8349407,848517,101158,731622,647551,551102,4768707,279530,647551,22964229.583740234,19096090,8184665,4,279530,8084405
1709476226.3001754,26.0.celestial,25.0.celestial,32164714.336395264,8982194.423675537,8658908,746358,1132,728173,640747,531829,4768707,279530,640747,23182519.912719727,19308679,8198406,6,279530,8106961
1709476310.6588194,25.0.celestial,24.0.celestial,31849421.739578247,8774494.171142578,8481796,856686,101525,739588,654361,547902,4768707,279530,654361,23074927.56843567,19220280,8185870,5,279530,8081671
1709476394.8416746,24.0.celestial,23.0.celestial,31918874.979019165,8891122.341156006,8615694,827840,101276,712004,627231,544933,4768707,279529,627231,23027752.63786316,19190855,8095744,4,279529,8028733
1709476481.1391046,23.0.celestial,22.0.celestial,31844765.90156555,8061130.2852630615,7753839,691415,1057,675501,593860,537473,4768707,279529,593860,23783635.61630249,19894462,8205448,5,279529,8126780
