t,host,operation,status,error,latency
1709475646.728635,32.0.celestial,set,success,,0.01150965690612793
1709475646.8532808,32.0.celestial,set,success,,0.01158452033996582
1709475646.9764838,32.0.celestial,del,success,,0.010642766952514648
1709475647.0985696,32.0.celestial,del,success,,0.01117563247680664
1709475647.2206542,32.0.celestial,del,success,,0.010639667510986328
1709475647.3425803,32.0.celestial,del,success,,0.010223865509033203
1709475647.4645967,32.0.celestial,set,success,,0.010938167572021484
1709475647.5872386,32.0.celestial,set,success,,0.010857582092285156
1709475647.7091007,32.0.celestial,set,success,,0.011020421981811523
1709475647.8313498,32.0.celestial,del,success,,0.011261701583862305
1709475647.9534314,32.0.celestial,get,success,,0.010367631912231445
1709475648.0739634,32.0.celestial,get,success,,0.01109004020690918
1709475648.1962059,32.0.celestial,del,success,,0.01071476936340332
1709475648.3182878,32.0.celestial,del,success,,0.010977983474731445
1709475648.4410439,32.0.celestial,set,success,,0.011567831039428711
1709475648.5647507,32.0.celestial,set,success,,0.011130809783935547
1709475648.6872654,32.0.celestial,get,success,,0.010951995849609375
1709475648.810196,32.0.celestial,set,success,,0.011160135269165039
1709475648.9334261,32.0.celestial,get,success,,0.011138677597045898
1709475649.0564852,32.0.celestial,del,success,,0.011005878448486328
1709475649.179472,32.0.celestial,del,success,,0.011029243469238281
1709475649.302764,32.0.celestial,get,success,,0.011351346969604492
1709475649.4261537,32.0.celestial,del,success,,0.011425018310546875
1709475649.550508,32.0.celestial,del,success,,0.010322332382202148
1709475649.6727116,32.0.celestial,set,success,,0.010996818542480469
1709475649.7949095,32.0.celestial,del,success,,0.01026010513305664
1709475649.9163353,32.0.celestial,del,success,,0.010552406311035156
1709475650.0375266,32.0.celestial,del,success,,0.010804176330566406
1709475650.1596794,32.0.celestial,get,success,,0.010535001754760742
1709475650.282847,32.0.celestial,del,success,,0.011519908905029297
1709475650.406997,32.0.celestial,get,success,,0.011194229125976562
1709475650.5304744,32.0.celestial,get,success,,0.011301040649414062
1709475650.6540427,32.0.celestial,get,success,,0.011048078536987305
1709475650.7769887,32.0.celestial,del,success,,0.011140823364257812
1709475650.9005353,32.0.celestial,del,success,,0.010820865631103516
1709475651.0237215,32.0.celestial,get,success,,0.011369705200195312
1709475651.1483622,32.0.celestial,get,success,,0.012334346771240234
1709475651.2743013,32.0.celestial,del,success,,0.01117253303527832
1709475651.3977149,32.0.celestial,set,success,,0.011302947998046875
1709475651.5208616,32.0.celestial,set,success,,0.01087498664855957
1709475651.643396,32.0.celestial,del,success,,0.010718584060668945
1709475651.7643836,32.0.celestial,set,success,,0.010392427444458008
1709475651.8870904,32.0.celestial,del,success,,0.011334419250488281
1709475652.0113068,32.0.celestial,del,success,,0.010970115661621094
1709475652.1339316,32.0.celestial,get,success,,0.010717630386352539
1709475652.257585,32.0.celestial,del,success,,0.011703729629516602
1709475652.380924,32.0.celestial,del,success,,0.010864496231079102
1709475652.5035942,32.0.celestial,del,success,,0.011246919631958008
1709475652.626791,32.0.celestial,set,success,,0.011981487274169922
1709475652.7513068,32.0.celestial,get,success,,0.011661291122436523
1709475652.8754597,32.0.celestial,del,success,,0.010731697082519531
1709475652.996775,32.0.celestial,del,success,,0.010754585266113281
1709475653.1181786,32.0.celestial,get,success,,0.01040029525756836
