t,source_sat,target_sat,total_duration,checkpoint_duration,restore_duration
1705252040.640233,42,43,23194.783210754395,10929.860830307007,12026.261568069458
1705252072.0137365,43,41,11317.50750541687,420.64976692199707,10721.34017944336
1705252153.5360622,41,40,11355.902433395386,405.54356575012207,10699.27954673767
1705252235.036616,40,39,11315.026044845581,432.7366352081299,10722.6722240448
1705252317.0102658,39,38,11306.76794052124,440.6137466430664,10705.69658279419
1705252398.4307597,38,37,11254.37879562378,422.49464988708496,10667.946338653564
1705252480.00324,37,36,11389.589071273804,470.2310562133789,10706.830739974976
