t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1709474870.9338586,43.0.celestial,42.0.celestial,35294842.72003174,14161169.76737976,13852610,7299160,101512,7181464,7029619,6945000,4768644,279536,7029619,21133672.952651978,17215599,7035714,3,279536,6957082
1709474919.3020072,42.0.celestial,41.0.celestial,31072708.60671997,9199717.283248901,8873761,712640,766,696538,615617,561723,4768596,279529,615617,21872991.32347107,18056077,7464369,5,279529,7372811
1709474991.4133565,41.0.celestial,40.0.celestial,30402107.47718811,9042881.488800049,8768757,843156,101083,726259,646068,592694,4768632,279530,646068,21359225.98838806,17547981,7194214,4,279530,7108187
1709475072.3848355,40.0.celestial,39.0.celestial,29255603.790283203,7892335.414886475,7585909,830359,101499,712446,627639,543951,4768677,279533,627639,21363268.37539673,17518213,7224246,6,279533,7131415
1709475154.8276439,39.0.celestial,38.0.celestial,30324226.85623169,8793441.0572052,8521647,839675,101237,721387,632148,553738,4768677,279533,632148,21530785.79902649,17687267,7362868,3,279533,7276426
1709475237.0818906,38.0.celestial,37.0.celestial,30169738.054275513,8238750.457763672,7947018,835231,101319,717641,634188,554274,4768710,279534,634188,21930987.59651184,18147666,7435078,4,279534,7348143
1709475319.6100426,37.0.celestial,36.0.celestial,30556829.690933228,8326652.526855469,8017768,827780,101187,710786,626400,538113,4768710,279534,626400,22230177.16407776,18319776,7604494,4,279534,7510632
1709475397.5048354,36.0.celestial,35.0.celestial,30448823.21357727,8302982.568740845,8012539,814827,101237,696457,612562,559159,4768710,279534,612562,22145840.644836426,18291755,7529154,5,279534,7442152
1709475480.0580537,35.0.celestial,34.0.celestial,30379551.17225647,8453165.054321289,8127264,773447,1452,755584,670976,540696,4768710,279534,670976,21926386.11793518,18144195,7415491,3,279534,7320965
1709475563.7108395,34.0.celestial,33.0.celestial,31634036.06414795,9667177.200317383,9345747,863042,101208,745622,659828,555906,4768710,279534,659828,21966858.863830566,18062723,7434920,5,279534,7356482
1709475646.7222328,33.0.celestial,32.0.celestial,30809679.746627808,8608947.51548767,8268943,784962,101253,668665,584957,530061,4768710,279534,584957,22200732.231140137,18378838,7572273,3,279534,7486075
1709475730.4261582,32.0.celestial,31.0.celestial,31543713.808059692,9016362.190246582,8707419,732735,994,716862,634360,544260,4768707,279531,634360,22527351.61781311,18661396,7742360,4,279531,7660783
1709475814.6047132,31.0.celestial,30.0.celestial,31692078.351974487,8781605.48210144,8515427,830187,101128,712584,627875,547038,4768707,279531,627875,22910472.869873047,18918179,7800983,4,279531,7739615
1709475893.6733603,30.0.celestial,29.0.celestial,31683158.39767456,9202787.87612915,8881484,727831,767,711097,625323,570752,4768707,279530,625323,22480370.52154541,18691672,7775288,3,279530,7684833
1709475976.7430394,29.0.celestial,28.0.celestial,30802193.641662598,8147813.081741333,7860911,838257,101289,721234,635301,554998,4768707,279530,635301,22654380.559921265,18820456,7851828,3,279530,7774113
1709476060.02586,28.0.celestial,27.0.celestial,31223026.037216187,8592183.589935303,8269024,871115,101211,755338,670089,567378,4768707,279530,670089,22630842.447280884,18733741,7679183,3,279530,7591810
1709476146.7440217,27.0.celestial,26.0.celestial,31649694.204330444,8685464.62059021,8349407,848517,101158,731622,647551,551102,4768707,279530,647551,22964229.583740234,19096090,8184665,4,279530,8084405
1709476226.3001754,26.0.celestial,25.0.celestial,32164714.336395264,8982194.423675537,8658908,746358,1132,728173,640747,531829,4768707,279530,640747,23182519.912719727,19308679,8198406,6,279530,8106961
1709476310.6588194,25.0.celestial,24.0.celestial,31849421.739578247,8774494.171142578,8481796,856686,101525,739588,654361,547902,4768707,279530,654361,23074927.56843567,19220280,8185870,5,279530,8081671
1709476394.8416746,24.0.celestial,23.0.celestial,31918874.979019165,8891122.341156006,8615694,827840,101276,712004,627231,544933,4768707,279529,627231,23027752.63786316,19190855,8095744,4,279529,8028733
1709476481.1391046,23.0.celestial,22.0.celestial,31844765.90156555,8061130.2852630615,7753839,691415,1057,675501,593860,537473,4768707,279529,593860,23783635.61630249,19894462,8205448,5,279529,8126780
