t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1709472750.0738394,43.0.celestial,42.0.celestial,18891308.307647705,6826097.48840332,6549594,3256762,1020,3236758,3148525,3117931,1511602,140066,3148525,12065210.819244385,9294463,3631217,3,140066,3545654
1709472802.3139167,42.0.celestial,41.0.celestial,16531244.51637268,4865087.032318115,4599743,385392,847,369684,313889,261946,1511604,140068,313889,11666157.484054565,9115694,3657506,3,140068,3571014
1709472879.3563316,41.0.celestial,40.0.celestial,16316711.42578125,4627579.927444458,4389195,367019,959,349885,294183,266369,1511604,140068,294183,11689131.498336792,9056706,3635781,4,140068,3576412
1709472961.8566763,40.0.celestial,39.0.celestial,16288145.542144775,4735179.662704468,4476156,518257,101252,402209,345216,306686,1511620,140069,345216,11552965.879440308,8952362,3648325,5,140069,3564535
1709473044.5393653,39.0.celestial,38.0.celestial,16683296.68045044,4861199.617385864,4580205,410301,962,393403,336267,299033,1511620,140069,336267,11822097.063064575,9194715,3691215,3,140069,3609049
1709473127.4131055,38.0.celestial,37.0.celestial,16869352.8175354,5185944.318771362,4914777,461406,101181,344761,287475,259541,1511639,140070,287475,11683408.498764038,9110872,3688900,3,140070,3602160
1709473204.8410993,37.0.celestial,36.0.celestial,16385834.693908691,4674450.635910034,4403471,430075,963,414978,358512,305409,1511639,140070,358512,11711384.057998657,9074555,3671121,4,140070,3593344
1709473289.7611077,36.0.celestial,35.0.celestial,16573697.328567505,4786648.0350494385,4527238,507712,101581,391814,335503,283053,1511639,140070,335503,11787049.293518066,9188932,3684260,5,140070,3610680
1709473373.738073,35.0.celestial,34.0.celestial,16252766.847610474,4620019.197463989,4356906,389122,865,372861,316211,271319,1511639,140070,316211,11632747.650146484,8977100,3678279,3,140070,3600048
1709473450.781631,34.0.celestial,33.0.celestial,16159847.497940063,4299317.5983428955,4049214,375431,1189,358534,302146,263815,1511639,140070,302146,11860529.899597168,9268204,3728293,4,140070,3638794
1709473533.8032587,33.0.celestial,32.0.celestial,16567459.106445312,4742747.783660889,4478984,406673,916,389735,332682,280807,1511639,140070,332682,11824711.322784424,9186278,3732630,4,140070,3639918
1709473616.378783,32.0.celestial,31.0.celestial,16652827.739715576,4884663.820266724,4668945,378390,976,358928,302209,274508,1511639,140070,302209,11768163.919448853,9139600,3727356,3,140070,3654511
1709473699.5123997,31.0.celestial,30.0.celestial,17038206.100463867,5003514.289855957,4777323,391502,915,375566,317776,268354,1511639,140070,317776,12034691.81060791,9256243,3685908,5,140070,3620645
1709473782.03454,30.0.celestial,29.0.celestial,16600639.343261719,4688959.836959839,4404632,401320,970,385697,329487,301808,1511639,140070,329487,11911679.50630188,9281239,3743220,4,140070,3659707
1709473864.620328,29.0.celestial,28.0.celestial,16697135.210037231,4699861.288070679,4443015,431325,879,415275,359689,309230,1511639,140069,359689,11997273.921966553,9356995,3770409,3,140069,3683910
1709473952.4023275,28.0.celestial,27.0.celestial,16822300.19569397,4852660.894393921,4569760,393037,1119,376916,319421,280074,1511639,140069,319421,11969639.301300049,9308782,3730882,3,140069,3653687
1709474036.4387658,27.0.celestial,26.0.celestial,17139714.95628357,5075579.881668091,4833183,491859,101352,375181,316063,276539,1511636,140066,316063,12064135.074615479,9407152,3748810,3,140066,3674502
1709474114.3954828,26.0.celestial,25.0.celestial,16937238.454818726,5098229.885101318,4829111,423871,1540,405829,346430,304390,1511636,140066,346430,11839008.569717407,9233075,3722644,3,140066,3642369
1709474201.8230622,25.0.celestial,24.0.celestial,16479223.251342773,4425432.443618774,4158890,385166,800,369354,311726,273243,1511636,140066,311726,12053790.807723999,9412142,3738326,4,140066,3650777
1709474284.8479207,24.0.celestial,23.0.celestial,16804669.618606567,4992734.670639038,4711859,513896,101413,395875,338234,296065,1511636,140066,338234,11811934.94796753,9264052,3743378,3,140066,3654241
1709474368.099721,23.0.celestial,22.0.celestial,16581626.892089844,4700156.450271606,4415468,506279,101332,388009,329260,280926,1511636,140066,329260,11881470.441818237,9192851,3681846,4,140066,3610741
1709474452.2957573,22.0.celestial,21.0.celestial,16666754.484176636,4573099.374771118,4305786,380156,1183,363494,303844,256814,1511636,140066,303844,12093655.109405518,9375239,3764378,4,140066,3668856
1709474534.9473338,21.0.celestial,20.0.celestial,16521045.446395874,4716413.736343384,4490054,393129,980,376988,319696,268601,1511636,140066,319696,11804631.71005249,9203858,3723116,4,140066,3639876
1709474617.46233,20.0.celestial,19.0.celestial,16410083.532333374,4499640.703201294,4283751,516427,101710,398113,340448,291611,1511636,140066,340448,11910442.82913208,9333997,3788334,3,140066,3702245
