t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1709470752.7401004,43.0.celestial,42.0.celestial,5317716.121673584,1584831.714630127,1355300,359467,1604,342462,268776,257322,85330,28507,268776,3732884.407043457,2165278,803687,4,28507,722573
1709470814.486353,42.0.celestial,41.0.celestial,5344832.181930542,1451241.4932250977,1206937,127521,1270,110262,73950,64962,85333,28500,73950,3893590.6887054443,2270173,865383,4,28500,777547
1709470896.757792,41.0.celestial,40.0.celestial,5381119.966506958,1476244.6880340576,1220728,151913,960,132541,95797,86453,85333,28500,95797,3904875.2784729004,2279325,854773,4,28500,761133
1709470973.858559,40.0.celestial,39.0.celestial,5530905.961990356,1519099.473953247,1300319,153559,970,137181,99102,92460,85333,28500,99102,4011806.4880371094,2291848,849127,3,28500,773973
1709471056.160796,39.0.celestial,38.0.celestial,5310231.447219849,1410696.7449188232,1227969,134106,1087,117917,81810,72454,85336,28501,81810,3899534.7023010254,2252218,886618,4,28501,798774
1709471138.7924187,38.0.celestial,37.0.celestial,5642636.299133301,1587626.2187957764,1380562,252374,101028,135175,99299,89075,85336,28499,99299,4055010.0803375244,2313673,863603,4,28499,801309
1709471220.84982,37.0.celestial,36.0.celestial,5461074.8291015625,1510987.5202178955,1269177,143375,931,126938,87377,77884,85336,28501,87377,3950087.308883667,2315555,884801,3,28501,799309
1709471303.0448072,36.0.celestial,35.0.celestial,5464874.505996704,1482369.8997497559,1271454,154902,1000,136661,100161,88509,85336,28501,100161,3982504.6062469482,2306460,860378,3,28501,796261
1709471384.9955215,35.0.celestial,34.0.celestial,5485381.603240967,1545701.026916504,1315469,237805,101332,118981,78888,72333,85336,28501,78888,3939680.576324463,2308475,877962,4,28501,786365
1709471466.9713733,34.0.celestial,33.0.celestial,5459882.497787476,1473994.493484497,1278102,118352,1179,100563,62835,54238,85336,28501,62835,3985888.0043029785,2218097,824167,3,28501,742662
1709471548.9884713,33.0.celestial,32.0.celestial,5385661.363601685,1530635.8337402344,1312213,220615,101361,103988,66062,55797,85336,28501,66062,3855025.52986145,2262152,872861,3,28501,778429
1709471631.0184793,32.0.celestial,31.0.celestial,5499142.169952393,1444203.3767700195,1212525,140022,1030,123898,85869,76756,85336,28501,85869,4054938.793182373,2340246,888834,4,28501,780563
1709471713.2791111,31.0.celestial,30.0.celestial,5718100.786209106,1777441.7400360107,1545758,250645,101186,133503,96312,86540,85336,28498,96312,3940659.0461730957,2292209,868076,4,28498,801977
1709471795.360832,30.0.celestial,29.0.celestial,5424067.974090576,1555608.5109710693,1344447,235115,101306,116685,80259,73851,85336,28498,80259,3868459.463119507,2226099,856108,3,28498,766711
1709471877.258122,29.0.celestial,28.0.celestial,5432408.094406128,1474768.877029419,1243759,139334,1078,123529,85485,76557,85336,28498,85485,3957639.217376709,2260330,891599,3,28498,802657
1709471965.8522654,28.0.celestial,27.0.celestial,5541280.746459961,1562658.7867736816,1305183,121684,812,105182,68639,58299,85336,28495,68639,3978621.9596862793,2260123,858368,3,28495,768505
1709472048.0470467,27.0.celestial,26.0.celestial,5585899.353027344,1521071.434020996,1323080,223614,101293,105106,65047,55035,85336,28495,65047,4064827.9190063477,2269335,878340,3,28495,796624
1709472129.9652808,26.0.celestial,25.0.celestial,5395859.479904175,1424481.8687438965,1221357,150757,945,133573,96975,85443,85336,28495,96975,3971377.6111602783,2225322,896604,5,28495,809499
1709472212.1194217,25.0.celestial,24.0.celestial,5550153.017044067,1610547.5425720215,1385040,261662,101334,144546,106991,97052,85336,28495,106991,3939605.474472046,2225081,874613,4,28495,785203
1709472294.2610626,24.0.celestial,23.0.celestial,5518234.2529296875,1599196.195602417,1374566,123876,1187,107588,71555,64852,85336,28495,71555,3919038.0573272705,2243090,870928,4,28495,788086
1709472381.220385,23.0.celestial,22.0.celestial,5412684.440612793,1420300.9605407715,1214094,142997,1113,126106,87337,77480,85336,28495,87337,3992383.4800720215,2314920,899730,4,28495,812386
1709472464.2922006,22.0.celestial,21.0.celestial,5625134.706497192,1653867.9599761963,1402233,119463,1293,101990,67143,60719,85336,28495,67143,3971266.746520996,2213944,847756,4,28495,787168
