total_timespan_s,instance_size_mb,total_downtime_s,downtime_percent,uptime_percent,avg_rq_latency_ms,rq_failure_rate
1670.47,0,50.79,3.04,96.96,10.51,2.49
1768.40,100,120.49,6.81,93.19,10.99,6.85
1969.57,500,400.87,20.35,79.65,15.55,23.54
1712.17,1000,656.72,38.36,61.64,22.37,47.82
1704.38,1500,971.15,56.98,43.02,30.21,75.85
1693.05,2000,1134.86,67.03,32.97,37.97,92.67
