t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1709479700.133437,43.0.celestial,42.0.celestial,52010191.679000854,20648712.396621704,20308536,9994548,1096,9976749,9823408,9669406,9839861,418984,9823408,31361479.28237915,26283128,10809961,4,418984,10736747
1709479765.8763695,42.0.celestial,41.0.celestial,43509515.28549194,12404890.775680542,12047011,1261986,102057,1140445,1027914,837652,9839869,418978,1027914,31104624.5098114,26058508,10587285,3,418978,10493535
1709479832.8253627,41.0.celestial,40.0.celestial,44007214.069366455,12828338.384628296,12462354,1153115,101386,1035555,927385,809168,9839869,418978,927385,31178875.68473816,26185838,10620081,3,418978,10533289
1709479899.16329,40.0.celestial,39.0.celestial,43773737.66899109,11886289.596557617,11566745,1178587,101208,1062092,953527,839099,9839884,418980,953527,31887448.07243347,26763995,10835944,4,418980,10757423
1709479966.6573734,39.0.celestial,38.0.celestial,44913457.15522766,12696448.802947998,12387603,1148216,101001,1031130,922394,809110,9839943,418981,922394,32217008.352279663,27152598,10894299,4,418981,10806285
1709480049.4114435,38.0.celestial,37.0.celestial,45225629.3296814,12766460.418701172,12435380,1095062,994,1079210,973215,807434,9839943,418981,973215,32459168.910980225,27347521,10800064,4,418981,10709122
1709480131.7047856,37.0.celestial,36.0.celestial,44593280.79223633,11899739.742279053,11554576,1148392,101418,1031651,918724,802915,9839943,418981,918724,32693541.049957275,27609608,10915895,4,418981,10815999
1709480214.9963746,36.0.celestial,35.0.celestial,45760393.85795593,13226778.030395508,12918255,1208903,101442,1091180,977690,819552,9839943,418981,977690,32533615.827560425,27504740,10917099,4,418981,10814032
1709480298.289939,35.0.celestial,34.0.celestial,45502673.625946045,12037802.457809448,11656823,1131248,101334,1012060,904944,823085,9839943,418981,904944,33464871.168136597,28284333,11089025,4,418981,10985121
1709480382.4746058,34.0.celestial,33.0.celestial,46358295.91751099,12706182.956695557,12346788,1101217,101144,984954,876031,795271,9839943,418981,876031,33652112.96081543,28508479,11147786,4,418981,11055606
1709480461.7917395,33.0.celestial,32.0.celestial,46449332.95249939,13305693.864822388,12936002,1063702,848,1045308,937739,817495,9839943,418981,937739,33143639.087677002,28123853,11117398,4,418981,11018072
1709480545.373547,32.0.celestial,31.0.celestial,45885490.41748047,13098959.922790527,12790274,994709,915,977394,870969,791265,9839943,418981,870969,32786530.49468994,27835032,11028330,4,418981,10933306
1709480628.3511221,31.0.celestial,30.0.celestial,45191383.361816406,11888599.157333374,11559532,1002335,918,986681,878752,797876,9839943,418981,878752,33302784.204483032,28096869,11171083,3,418981,11053365
1709480713.7464664,30.0.celestial,29.0.celestial,47481847.76306152,14368731.97555542,14029234,1083133,1046,1064055,957283,805446,9839943,418981,957283,33113115.787506104,28013013,11166441,4,418981,11084307
1709480791.6571405,29.0.celestial,28.0.celestial,45507427.21557617,12366050.958633423,12000136,1037689,1167,1019469,911314,797399,9839940,418980,911314,33141376.25694275,28068557,11140290,4,418980,11053714
1709480877.3262143,28.0.celestial,27.0.celestial,47066056.72836304,13290217.876434326,12979047,1009390,996,992913,885217,798827,9839940,418980,885217,33775838.85192871,28646540,11409310,4,418980,11317819
1709480961.7911873,27.0.celestial,26.0.celestial,46300904.27398682,12286558.151245117,11922624,1241282,101074,1124844,1016854,863066,9839940,418980,1016854,34014346.1227417,28956447,11773947,4,418980,11694040
1709481046.2275734,26.0.celestial,25.0.celestial,46306735.51559448,12196749.210357666,11881590,1192309,101349,1073538,964238,881069,9839940,418980,964238,34109986.30523682,28829424,11381991,3,418980,11301881
1709481124.7036283,25.0.celestial,24.0.celestial,45567555.42755127,12057779.788970947,11685834,1131971,101568,1014768,907269,782654,9839934,418979,907269,33509775.638580322,28413665,11365784,4,418979,11264106
1709481208.7105813,24.0.celestial,23.0.celestial,45974860.429763794,12223540.306091309,11866445,1062704,923,1046699,939646,803164,9839934,418979,939646,33751320.123672485,28547654,11362603,4,418979,11277985
1709481302.5418212,23.0.celestial,22.0.celestial,53767750.50163269,12767433.643341064,12406257,1219955,101374,1104228,989702,851762,9839934,418979,989702,41000316.858291626,35795988,14736324,3,418979,14655567
