t,host,operation,status,error,latency
1709474819.0095527,43.0.celestial,get,success,,0.009317874908447266
1709474819.1283712,43.0.celestial,get,success,,0.009249210357666016
1709474819.2469647,43.0.celestial,set,success,,0.009181499481201172
1709474819.3655415,43.0.celestial,set,success,,0.009450912475585938
1709474819.4843218,43.0.celestial,del,success,,0.009295225143432617
1709474819.6029706,43.0.celestial,set,success,,0.009223699569702148
1709474819.7215552,43.0.celestial,get,success,,0.009372949600219727
1709474819.8407881,43.0.celestial,del,success,,0.009361505508422852
1709474819.9599726,43.0.celestial,get,success,,0.009338617324829102
1709474820.079008,43.0.celestial,get,success,,0.009090423583984375
1709474820.1975915,43.0.celestial,set,success,,0.00915217399597168
1709474820.3160996,43.0.celestial,get,success,,0.009156465530395508
1709474820.4346704,43.0.celestial,set,success,,0.009063720703125
1709474820.552822,43.0.celestial,set,success,,0.009253740310668945
1709474820.6715279,43.0.celestial,del,success,,0.009586095809936523
1709474820.7904837,43.0.celestial,get,success,,0.008967876434326172
1709474820.908442,43.0.celestial,del,success,,0.008879661560058594
1709474821.0259304,43.0.celestial,set,success,,0.008901357650756836
1709474821.1435874,43.0.celestial,del,success,,0.008931875228881836
1709474821.2612593,43.0.celestial,set,success,,0.009089946746826172
1709474821.3794267,43.0.celestial,del,success,,0.009232759475708008
1709474821.4979386,43.0.celestial,del,success,,0.009145259857177734
1709474821.6163595,43.0.celestial,set,success,,0.009270906448364258
1709474821.7350357,43.0.celestial,get,success,,0.009174823760986328
1709474821.8536677,43.0.celestial,del,success,,0.009216785430908203
1709474821.9722815,43.0.celestial,del,success,,0.00916433334350586
1709474822.0907261,43.0.celestial,get,success,,0.009179353713989258
1709474822.2092657,43.0.celestial,get,success,,0.00922536849975586
1709474822.3276916,43.0.celestial,del,success,,0.009613037109375
1709474822.4533076,43.0.celestial,del,success,,0.011971235275268555
1709474822.5815492,43.0.celestial,set,success,,0.012123584747314453
1709474822.7068114,43.0.celestial,del,success,,0.009212732315063477
1709474822.825514,43.0.celestial,del,success,,0.009325981140136719
1709474822.9451215,43.0.celestial,del,success,,0.009190082550048828
1709474823.0637698,43.0.celestial,set,success,,0.009225845336914062
1709474823.1824248,43.0.celestial,del,success,,0.009167909622192383
1709474823.3009872,43.0.celestial,set,success,,0.009272098541259766
1709474823.4197805,43.0.celestial,del,success,,0.009428262710571289
1709474823.5391977,43.0.celestial,get,success,,0.00944972038269043
1709474823.6586263,43.0.celestial,del,fail,Timeout reading from socket,0.1133890151977539
1709474823.8822753,43.0.celestial,set,fail,Timeout connecting to server,0.11388301849365234
1709474824.1067245,43.0.celestial,set,fail,Timeout connecting to server,0.11358761787414551
1709474824.3308256,43.0.celestial,del,fail,Timeout connecting to server,0.1139378547668457
1709474824.5548685,43.0.celestial,del,fail,Timeout connecting to server,0.11371946334838867
1709474824.7788208,43.0.celestial,get,fail,Timeout connecting to server,0.11353158950805664
1709474825.002556,43.0.celestial,set,fail,Timeout connecting to server,0.11363601684570312
1709474825.2265022,43.0.celestial,del,fail,Timeout connecting to server,0.11371207237243652
1709474825.4505107,43.0.celestial,set,fail,Timeout connecting to server,0.11360883712768555
1709474825.6744425,43.0.celestial,del,fail,Timeout connecting to server,0.11373162269592285
1709474825.909388,43.0.celestial,set,fail,Timeout connecting to server,0.11377501487731934
1709474826.134157,43.0.celestial,get,fail,Timeout connecting to server,0.1142432689666748
1709474826.358691,43.0.celestial,del,fail,Timeout connecting to server,0.11378312110900879
1709474826.582848,43.0.celestial,del,fail,Timeout connecting to server,0.11368393898010254
1709474826.8067453,43.0.celestial,get,fail,Timeout connecting to server,0.11391544342041016
1709474827.030948,43.0.celestial,del,fail,Timeout connecting to server,0.11433625221252441
1709474827.2576778,43.0.celestial,del,fail,Timeout connecting to server,0.11743021011352539
1709474827.4873033,43.0.celestial,get,fail,Timeout connecting to server,0.11417102813720703
1709474827.713002,43.0.celestial,set,fail,Timeout connecting to server,0.11411166191101074
1709474827.9377518,43.0.celestial,del,fail,Timeout connecting to server,0.1142880916595459
1709474828.16251,43.0.celestial,get,fail,Timeout connecting to server,0.11348223686218262
1709474828.3862698,43.0.celestial,del,fail,Timeout connecting to server,0.11668944358825684
1709474828.617027,43.0.celestial,get,fail,Timeout connecting to server,0.11849379539489746
1709474828.849461,43.0.celestial,set,fail,Timeout connecting to server,0.11548638343811035
1709474829.075151,43.0.celestial,set,fail,Timeout connecting to server,0.11373710632324219
1709474829.3001912,43.0.celestial,del,fail,Timeout connecting to server,0.11613321304321289
1709474829.5294943,43.0.celestial,set,fail,Timeout connecting to server,0.11763548851013184
1709474829.76022,43.0.celestial,get,fail,Timeout connecting to server,0.11593985557556152
1709474829.9864376,43.0.celestial,del,fail,Timeout connecting to server,0.11623430252075195
1709474830.2138684,43.0.celestial,set,fail,Timeout connecting to server,0.11586523056030273
1709474830.4401903,43.0.celestial,set,fail,Timeout connecting to server,0.11390137672424316
1709474830.664212,43.0.celestial,set,fail,Timeout connecting to server,0.11510634422302246
1709474830.890701,43.0.celestial,get,fail,Timeout connecting to server,0.11696958541870117
1709474831.1203308,43.0.celestial,get,fail,Timeout connecting to server,0.11652755737304688
1709474831.3506172,43.0.celestial,set,fail,Timeout connecting to server,0.11744546890258789
1709474831.5809596,43.0.celestial,get,fail,Timeout connecting to server,0.11466431617736816
1709474831.8056195,43.0.celestial,set,fail,Timeout connecting to server,0.11685490608215332
1709474832.036399,43.0.celestial,del,fail,Timeout connecting to server,0.11619210243225098
1709474832.2628176,43.0.celestial,set,fail,Timeout connecting to server,0.11384296417236328
1709474832.48701,43.0.celestial,del,fail,Timeout connecting to server,0.1137998104095459
1709474832.7110567,43.0.celestial,get,fail,Timeout connecting to server,0.11377954483032227
1709474832.9351761,43.0.celestial,get,fail,Timeout connecting to server,0.11358284950256348
1709474833.1592472,43.0.celestial,del,fail,Timeout connecting to server,0.11457443237304688
1709474833.3864288,43.0.celestial,get,fail,Timeout connecting to server,0.11432766914367676
1709474833.612309,43.0.celestial,del,fail,Timeout connecting to server,0.1142892837524414
1709474833.8394413,43.0.celestial,get,fail,Timeout connecting to server,0.11504197120666504
1709474834.0655012,43.0.celestial,del,fail,Timeout connecting to server,0.1154029369354248
1709474834.291473,43.0.celestial,get,fail,Timeout connecting to server,0.11319160461425781
1709474834.5148573,43.0.celestial,del,fail,Timeout connecting to server,0.1148841381072998
1709474834.7407792,43.0.celestial,set,fail,Timeout connecting to server,0.11645364761352539
1709474834.969883,43.0.celestial,get,fail,Timeout connecting to server,0.1137549877166748
1709474835.1952274,43.0.celestial,set,fail,Timeout connecting to server,0.11446547508239746
1709474835.4200783,43.0.celestial,del,fail,Timeout connecting to server,0.11461305618286133
1709474835.6451128,43.0.celestial,set,fail,Timeout connecting to server,0.11483955383300781
1709474835.869507,43.0.celestial,get,fail,Timeout connecting to server,0.11366415023803711
1709474836.0947459,43.0.celestial,del,fail,Timeout connecting to server,0.11537718772888184
1709474836.3203886,43.0.celestial,del,fail,Timeout connecting to server,0.11412382125854492
1709474836.5449572,43.0.celestial,get,fail,Timeout connecting to server,0.11584591865539551
1709474836.7713032,43.0.celestial,get,fail,Timeout connecting to server,0.11416244506835938
1709474836.9957654,43.0.celestial,set,fail,Timeout connecting to server,0.11310172080993652
1709474837.2183864,43.0.celestial,set,fail,Timeout connecting to server,0.1125478744506836
1709474837.441507,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02844381332397461
1709474837.5828345,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027483701705932617
1709474837.723476,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.03136157989501953
1709474837.8702867,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.030495405197143555
1709474838.014627,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026123523712158203
1709474838.1526709,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025678396224975586
1709474838.2917066,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026951074600219727
1709474838.431011,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025569915771484375
1709474838.5685594,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025368213653564453
1709474838.707024,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025803565979003906
1709474838.8444698,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027279376983642578
1709474838.984584,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025952577590942383
1709474839.1224086,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02606987953186035
1709474839.261275,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025343656539916992
1709474839.3980858,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02744603157043457
