t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1708881829.288843,43.0.celestial,42.0.celestial,13224297.046661377,2094339.13230896,1799794,511596,1515,493296,391222,355809,1003557,132138,391222,11129957.914352417,8805743,3709658,4,132138,3618870
1708881876.969298,42.0.celestial,41.0.celestial,12393437.385559082,1749793.291091919,1476893,350023,760,334830,281089,261766,1003574,132139,281089,10643644.094467163,8298952,3381041,4,132139,3305086
1708881959.851226,41.0.celestial,40.0.celestial,12500841.856002808,1909029.9606323242,1686720,468533,101316,349314,292926,249352,1003574,132139,292926,10591811.895370483,8302861,3369193,3,132139,3285049
1708882042.6351233,40.0.celestial,39.0.celestial,12396318.435668945,1818893.1941986084,1600569,360533,820,340906,285763,266076,1003574,132139,285763,10577425.241470337,8245636,3406524,4,132139,3326833
1708882120.6131732,39.0.celestial,38.0.celestial,12605131.149291992,1933966.875076294,1707539,371202,972,355100,300753,267027,1003580,132140,300753,10671164.274215698,8350118,3395976,3,132140,3306605
1708882203.7685668,38.0.celestial,37.0.celestial,12765882.015228271,2146985.0540161133,1922460,451552,101332,334105,275789,236314,1003614,132143,275789,10618896.961212158,8302989,3382708,4,132143,3318291
1708882287.1752574,37.0.celestial,36.0.celestial,13014118.194580078,2036442.0413970947,1752762,476920,101277,360159,303794,269986,1003614,132143,303794,10977676.153182983,8587922,3543531,3,132143,3448460
1708882370.560527,36.0.celestial,35.0.celestial,12790775.537490845,1950062.2749328613,1690933,470943,101345,353291,298227,268927,1003614,132143,298227,10840713.262557983,8508434,3500230,4,132143,3425096
1708882449.1894698,35.0.celestial,34.0.celestial,13033752.44140625,2128552.6752471924,1839121,481367,101567,355475,295426,260431,1003614,132143,295426,10905199.766159058,8534115,3514553,6,132143,3426806
1708882532.8869283,34.0.celestial,33.0.celestial,13068472.862243652,2086546.6594696045,1838665,469549,101457,352411,297154,266917,1003620,132144,297154,10981926.202774048,8645113,3541526,3,132144,3467189
1708882616.5614629,33.0.celestial,32.0.celestial,13053101.778030396,2144344.0914154053,1880917,503214,101075,382297,324658,276109,1003620,132144,324658,10908757.68661499,8592258,3534224,4,132144,3465856
1708882695.0897555,32.0.celestial,31.0.celestial,12924364.566802979,2033304.4528961182,1744185,489545,101163,370417,309500,264002,1003620,132144,309500,10891060.11390686,8557161,3553089,3,132144,3462188
1708882778.519433,31.0.celestial,30.0.celestial,12784962.892532349,1852790.117263794,1618102,373780,1013,357374,297153,258328,1003620,132144,297153,10932172.775268555,8556338,3539525,3,132144,3438409
1708882862.1102173,30.0.celestial,29.0.celestial,12942252.159118652,1882499.2179870605,1619516,379007,890,362228,307336,264084,1003620,132144,307336,11059752.941131592,8724353,3546444,3,132144,3454370
1708882945.623276,29.0.celestial,28.0.celestial,12872757.196426392,1819313.5261535645,1579571,362286,990,344360,289957,271996,1003620,132144,289957,11053443.670272827,8716617,3527701,3,132144,3452163
1708883028.9497304,28.0.celestial,27.0.celestial,12700325.965881348,1745331.5258026123,1484820,346223,975,330074,272625,242084,1003572,132136,272625,10954994.440078735,8608916,3579430,3,132136,3487144
1708883112.6141114,27.0.celestial,26.0.celestial,13016557.216644287,1920027.494430542,1692690,361487,1090,344179,291788,273704,1003572,132136,291788,11096529.722213745,8638127,3613076,3,132136,3523089
1708883196.2153485,26.0.celestial,25.0.celestial,12971112.01286316,1940302.848815918,1651388,365930,996,350130,294665,263157,1003572,132136,294665,11030809.164047241,8664867,3556515,4,132136,3468441
1708883279.738788,25.0.celestial,24.0.celestial,12900248.050689697,1907603.0254364014,1644140,365999,1006,349664,292762,273626,1003572,132136,292762,10992645.025253296,8680886,3600516,3,132136,3512533
1708883363.644189,24.0.celestial,23.0.celestial,13267621.517181396,2110960.006713867,1845456,469043,101415,350890,293035,275128,1003572,132136,293035,11156661.51046753,8747347,3587218,4,132136,3498145
1708883447.2960265,23.0.celestial,22.0.celestial,12998357.53440857,1898987.5316619873,1681042,477820,101356,359981,303377,272415,1003572,132136,303377,11099370.002746582,8724907,3633495,4,132136,3536109
1708883531.068776,22.0.celestial,21.0.celestial,13124537.229537964,2017582.4165344238,1778428,375138,1280,358042,298725,258871,1003572,132136,298725,11106954.81300354,8750615,3580587,4,132136,3504530
