t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1709382425.5676277,43.0.celestial,42.0.celestial,53978276.25274658,7461603.64151001,6992122,2094719,101642,1976343,1774537,1527138,21802235,658233,1774537,46516672.61123657,39818090,16379507,3,658233,16289035
1709382484.2811697,42.0.celestial,41.0.celestial,53486003.160476685,7075125.694274902,6608116,1748262,101432,1628161,1475185,1253847,21802151,658233,1475185,46410877.46620178,39791905,16321647,4,658233,16237576
1709382543.562866,41.0.celestial,40.0.celestial,54061423.30169678,6401494.026184082,6003525,1455620,1076,1438448,1285367,1199226,21802235,658234,1285367,47659929.275512695,41027507,16479566,4,658234,16393639
1709382607.8253546,40.0.celestial,39.0.celestial,54014067.88825989,6385171.175003052,5981152,1484476,1028,1466765,1316543,1187919,21802403,658236,1316543,47628896.713256836,40870100,17102527,4,658236,17033726
1709382692.5676377,39.0.celestial,38.0.celestial,54451985.83602905,6466596.603393555,6051917,1589751,101041,1474115,1323645,1178854,21802403,658236,1323645,47985389.2326355,41346790,17579958,4,658236,17495181
1709382774.0846567,38.0.celestial,37.0.celestial,56218467.712402344,6732088.088989258,6317148,1642320,101700,1524416,1371819,1205413,21802487,658237,1371819,49486379.623413086,42488146,17775155,4,658237,17685839
1709382854.1569674,37.0.celestial,36.0.celestial,54788049.936294556,6772276.6399383545,6314982,1552577,1017,1536038,1384857,1238202,21802487,658237,1384857,48015773.2963562,41154642,17173641,3,658237,17089912
1709382939.0522227,36.0.celestial,35.0.celestial,54589775.800704956,6501830.577850342,6066050,1538937,1192,1519533,1370780,1205332,21802487,658237,1370780,48087945.222854614,41379118,17272749,3,658237,17192934
1709383019.5646915,35.0.celestial,34.0.celestial,55212348.93798828,6917754.173278809,6545162,1490568,1047,1471994,1318378,1235015,21802487,658237,1318378,48294594.76470947,41476159,17338938,3,658237,17253377
1709383100.4685183,34.0.celestial,33.0.celestial,55615544.31915283,7173161.98348999,6795593,1546349,882,1530775,1380701,1249430,21802487,658237,1380701,48442382.33566284,41601711,17484948,4,658237,17391874
1709383186.4308774,33.0.celestial,32.0.celestial,55668608.90388489,6895826.578140259,6500960,1438495,1006,1422665,1270367,1187332,21802487,658237,1270367,48772782.32574463,41957048,17582647,3,658237,17488929
1709383268.09113,32.0.celestial,31.0.celestial,56373649.35874939,7267224.7886657715,6839504,1627498,993,1611557,1453516,1235468,21802571,658238,1453516,49106424.57008362,42358516,17766847,3,658238,17675179
1709383349.6549926,31.0.celestial,30.0.celestial,56246188.64059448,6795000.791549683,6391812,1614336,101186,1495709,1343834,1201696,21802571,658238,1343834,49451187.8490448,42635792,17934556,3,658238,17863823
1709383432.3228536,30.0.celestial,29.0.celestial,57389035.94017029,7526313.304901123,7136253,1507670,1081,1490665,1340717,1217487,21802571,658238,1340717,49862722.635269165,43078231,18097147,3,658238,18008692
1709383513.1973648,29.0.celestial,28.0.celestial,55595219.61212158,6724483.966827393,6296897,1548735,101187,1432971,1279714,1194160,21802571,658238,1279714,48870735.64529419,42237400,17761404,4,658238,17690540
1709383599.3432872,28.0.celestial,27.0.celestial,55827805.75752258,6655567.646026611,6287626,1468429,1027,1452102,1303404,1160666,21802571,658238,1303404,49172238.11149597,42542464,17921094,4,658238,17842622
1709383680.2239728,27.0.celestial,26.0.celestial,55601596.83227539,6511531.829833984,6139907,1533907,1074,1517566,1366439,1200501,21802571,658238,1366439,49090065.002441406,42443405,18013573,3,658238,17945893
1709383766.65153,26.0.celestial,25.0.celestial,56125576.73454285,6521342.2775268555,6096381,1477964,1103,1461751,1311429,1186389,21802571,658238,1311429,49604234.45701599,42705195,17991885,4,658238,17912562
1709383848.6852171,25.0.celestial,24.0.celestial,56743914.60418701,6564882.278442383,6190924,1500187,1123,1483910,1334521,1193209,21802571,658238,1334521,50179032.32574463,43393887,18374231,4,658238,18282873
1709383936.2053404,24.0.celestial,23.0.celestial,57223973.989486694,6768288.135528564,6333287,1548422,101167,1429818,1277840,1192560,21802571,658238,1277840,50455685.85395813,43730214,17827229,4,658238,17743295
