t,host,operation,status,error,latency
1709382367.2224479,43.0.celestial,del,success,,0.01090097427368164
1709382367.3364193,43.0.celestial,del,success,,0.01038217544555664
1709382367.4505231,43.0.celestial,set,success,,0.010454416275024414
1709382367.5640934,43.0.celestial,get,success,,0.010495662689208984
1709382367.6784031,43.0.celestial,get,success,,0.010480642318725586
1709382367.7919805,43.0.celestial,del,success,,0.010367631912231445
1709382367.9055004,43.0.celestial,set,success,,0.010432004928588867
1709382368.0194561,43.0.celestial,del,success,,0.01042795181274414
1709382368.1343458,43.0.celestial,get,success,,0.011622190475463867
1709382368.2504578,43.0.celestial,del,success,,0.011575460433959961
1709382368.3663409,43.0.celestial,del,success,,0.01219034194946289
1709382368.4822729,43.0.celestial,set,success,,0.01040506362915039
1709382368.5984557,43.0.celestial,set,success,,0.011998891830444336
1709382368.7148144,43.0.celestial,set,success,,0.011772632598876953
1709382368.8302863,43.0.celestial,get,success,,0.01045083999633789
1709382368.9450018,43.0.celestial,set,success,,0.011176824569702148
1709382369.0591915,43.0.celestial,del,success,,0.010339498519897461
1709382369.1733458,43.0.celestial,get,success,,0.011059284210205078
1709382369.288227,43.0.celestial,set,success,,0.010440349578857422
1709382369.4023526,43.0.celestial,get,success,,0.010451316833496094
1709382369.5164557,43.0.celestial,del,success,,0.01042032241821289
1709382369.6305573,43.0.celestial,get,success,,0.010278701782226562
1709382369.7444835,43.0.celestial,set,success,,0.010374307632446289
1709382369.8584585,43.0.celestial,del,success,,0.010447263717651367
1709382369.9720106,43.0.celestial,get,success,,0.010441064834594727
1709382370.08552,43.0.celestial,del,success,,0.010422945022583008
1709382370.1990783,43.0.celestial,get,success,,0.010512113571166992
1709382370.3126614,43.0.celestial,del,success,,0.010279655456542969
1709382370.4266272,43.0.celestial,set,success,,0.01032257080078125
1709382370.5400367,43.0.celestial,del,success,,0.010435104370117188
1709382370.654914,43.0.celestial,get,success,,0.011794567108154297
1709382370.770452,43.0.celestial,set,success,,0.010426044464111328
1709382370.8844976,43.0.celestial,set,success,,0.010462522506713867
1709382370.9986682,43.0.celestial,set,success,,0.010341882705688477
1709382371.1126328,43.0.celestial,set,success,,0.010438919067382812
1709382371.22686,43.0.celestial,get,success,,0.010340452194213867
1709382371.3402724,43.0.celestial,set,success,,0.010384321212768555
1709382371.4543283,43.0.celestial,del,success,,0.010294437408447266
1709382371.5684788,43.0.celestial,get,fail,Timeout reading from socket,0.10338354110717773
1709382371.7743013,43.0.celestial,set,fail,Timeout connecting to server,0.10798096656799316
1709382371.9845583,43.0.celestial,del,fail,Timeout connecting to server,0.10729551315307617
1709382372.1948032,43.0.celestial,get,fail,Timeout connecting to server,0.1080939769744873
1709382372.4065554,43.0.celestial,set,fail,Timeout connecting to server,0.10613250732421875
1709382372.616296,43.0.celestial,set,fail,Timeout connecting to server,0.10740375518798828
1709382372.8264334,43.0.celestial,get,fail,Timeout connecting to server,0.10798501968383789
1709382373.037304,43.0.celestial,del,fail,Timeout connecting to server,0.10712766647338867
1709382373.246805,43.0.celestial,set,fail,Timeout connecting to server,0.10763072967529297
1709382373.4566116,43.0.celestial,set,fail,Timeout connecting to server,0.10807180404663086
1709382373.6670516,43.0.celestial,get,fail,Timeout connecting to server,0.10913538932800293
1709382373.879393,43.0.celestial,set,fail,Timeout connecting to server,0.10784602165222168
1709382374.0905828,43.0.celestial,del,fail,Timeout connecting to server,0.10883498191833496
1709382374.3024418,43.0.celestial,get,fail,Timeout connecting to server,0.10888457298278809
1709382374.516833,43.0.celestial,get,fail,Timeout connecting to server,0.10729146003723145
1709382374.727425,43.0.celestial,get,fail,Timeout connecting to server,0.1090860366821289
1709382374.9387407,43.0.celestial,get,fail,Timeout connecting to server,0.10915756225585938
1709382375.150371,43.0.celestial,get,fail,Timeout connecting to server,0.10981583595275879
1709382375.3627896,43.0.celestial,set,fail,Timeout connecting to server,0.10850691795349121
1709382375.5750086,43.0.celestial,set,fail,Timeout connecting to server,0.10881781578063965
1709382375.7870634,43.0.celestial,set,fail,Timeout connecting to server,0.10959696769714355
1709382375.9996562,43.0.celestial,del,fail,Timeout connecting to server,0.10965275764465332
1709382376.2132149,43.0.celestial,set,fail,Timeout connecting to server,0.10750031471252441
1709382376.4236026,43.0.celestial,del,fail,Timeout connecting to server,0.10804104804992676
1709382376.6353614,43.0.celestial,set,fail,Timeout connecting to server,0.10904669761657715
1709382376.8478,43.0.celestial,del,fail,Timeout connecting to server,0.10751056671142578
1709382377.0584524,43.0.celestial,set,fail,Timeout connecting to server,0.10874438285827637
1709382377.2717986,43.0.celestial,set,fail,Timeout connecting to server,0.1091151237487793
1709382377.484528,43.0.celestial,get,fail,Timeout connecting to server,0.10786080360412598
1709382377.6951892,43.0.celestial,get,fail,Timeout connecting to server,0.10841965675354004
1709382377.9074776,43.0.celestial,get,fail,Timeout connecting to server,0.1069481372833252
1709382378.1169984,43.0.celestial,get,fail,Timeout connecting to server,0.10916471481323242
1709382378.3303883,43.0.celestial,del,fail,Timeout connecting to server,0.10697078704833984
1709382378.542413,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.040700435638427734
1709382378.6879923,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.015917062759399414
1709382378.8070765,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016454696655273438
1709382378.927308,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016170740127563477
1709382379.0464416,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016810178756713867
1709382379.1669846,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.019481420516967773
1709382379.2892025,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.0160064697265625
1709382379.409059,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.015920400619506836
1709382379.5288162,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.017859935760498047
1709382379.6509557,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01612687110900879
1709382379.7701638,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016063213348388672
1709382379.8884928,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016361713409423828
1709382380.0070965,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016828536987304688
1709382380.126931,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01602959632873535
1709382380.245357,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01756000518798828
1709382380.3652751,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.017293930053710938
1709382380.4850183,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01936054229736328
1709382380.6072707,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.017876148223876953
1709382380.7307255,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.015567302703857422
1709382380.8492663,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.019377708435058594
1709382380.9723954,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016371488571166992
1709382381.0924556,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016328811645507812
1709382381.2123606,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016399383544921875
1709382381.332503,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.018309831619262695
1709382381.4533556,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.018074750900268555
1709382381.575126,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.017071247100830078
1709382381.6946907,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016638755798339844
1709382381.8152661,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.018858909606933594
1709382381.9365003,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.019193410873413086
1709382382.058735,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.017303943634033203
1709382382.1791234,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.017004966735839844
1709382382.298481,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.018518447875976562
1709382382.4237967,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016330242156982422
1709382382.5434744,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.017635345458984375
1709382382.666334,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01770782470703125
1709382382.786565,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.017380237579345703
1709382382.9067929,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01633620262145996
1709382383.0254695,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.01713109016418457
1709382383.1449273,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016172170639038086
1709382383.2640712,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016144514083862305
1709382383.3826227,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.0163116455078125
1709382383.5012152,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.018412113189697266
1709382383.6222773,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.016561269760131836
1709382383.7429616,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027322053909301758
1709382383.8829386,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.0254669189453125
1709382384.02068,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025662899017333984
1709382384.1585677,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02570652961730957
1709382384.297869,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.036061763763427734
1709382384.4463258,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026851415634155273
1709382384.5860684,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026044130325317383
1709382384.7245128,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025441408157348633
1709382384.8652368,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.03193831443786621
1709382385.0101354,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025453805923461914
1709382385.148042,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025469064712524414
1709382385.2859528,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025393962860107422
1709382385.4238052,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02683544158935547
1709382385.5629506,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025549888610839844
1709382385.7010458,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025775909423828125
1709382385.8392518,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.0254061222076416
1709382385.9781845,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025352954864501953
1709382386.116002,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025452136993408203
1709382386.2536838,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025507450103759766
1709382386.3914342,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025210142135620117
1709382386.5293343,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.0256497859954834
1709382386.6672637,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.03156137466430664
1709382386.8113196,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02564692497253418
1709382386.9493337,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025606393814086914
1709382387.0874553,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025768756866455078
1709382387.2254696,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02536630630493164
1709382387.3637986,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025818347930908203
1709382387.5031464,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025301694869995117
1709382387.640704,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025341033935546875
1709382387.7782805,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025318145751953125
1709382387.9159086,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02591109275817871
1709382388.0541098,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026579856872558594
1709382388.1928792,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025506973266601562
1709382388.33104,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027249813079833984
1709382388.4714367,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02536606788635254
1709382388.6092274,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026486873626708984
1709382388.7483246,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025346994400024414
1709382388.8861895,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02520012855529785
1709382389.0237727,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025357484817504883
1709382389.161733,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02512359619140625
1709382389.299293,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02544379234313965
1709382389.4371605,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026551008224487305
1709382389.5761342,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025377273559570312
1709382389.714367,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026826858520507812
1709382389.8542366,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025597095489501953
1709382389.9936516,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.030000925064086914
1709382390.1390295,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.028748273849487305
1709382390.2810228,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027271509170532227
1709382390.4231775,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027755260467529297
1709382390.5640137,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027091264724731445
1709382390.703563,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025301218032836914
1709382390.8414092,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025502443313598633
1709382390.978727,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02572345733642578
1709382391.1171737,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027391672134399414
1709382391.2578025,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02668023109436035
1709382391.3985412,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025412797927856445
1709382391.5364854,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025565624237060547
1709382391.675624,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026099205017089844
1709382391.8148828,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02707695960998535
1709382391.954445,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026436567306518555
1709382392.0928695,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025699138641357422
1709382392.2308402,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025507211685180664
1709382392.369406,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027490854263305664
1709382392.509613,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02665853500366211
1709382392.6499527,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025817394256591797
1709382392.7884417,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025374412536621094
1709382392.9261844,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027557373046875
1709382393.0671396,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025622844696044922
1709382393.205464,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025832176208496094
1709382393.3441222,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.029067277908325195
1709382393.487827,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02595067024230957
1709382393.6261423,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025892019271850586
1709382393.7644827,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02524113655090332
1709382393.902648,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026863813400268555
1709382394.0420587,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026143312454223633
1709382394.1819866,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02609562873840332
1709382394.3216014,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025786161422729492
1709382394.4602892,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025573253631591797
1709382394.598289,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026592493057250977
1709382394.7379615,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025377988815307617
1709382394.8762186,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02550792694091797
1709382395.016317,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027372360229492188
1709382395.1567302,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02705073356628418
1709382395.296622,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026976585388183594
1709382395.4381025,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027354955673217773
1709382395.5788329,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026442527770996094
1709382395.719605,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02671074867248535
1709382395.860682,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.028655290603637695
1709382396.0045083,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025433063507080078
1709382396.141945,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02478647232055664
1709382396.278634,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.024374961853027344
1709382396.414916,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025401592254638672
1709382396.554713,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027219533920288086
1709382396.694623,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.024603843688964844
1709382396.8314774,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026204586029052734
1709382396.9712732,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.029235124588012695
1709382397.1152115,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026324987411499023
1709382397.2538488,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025181055068969727
1709382397.3914566,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.029925823211669922
1709382397.5358815,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027901649475097656
1709382397.6791465,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026639938354492188
1709382397.8196688,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027391433715820312
1709382397.961246,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.028080463409423828
1709382398.101924,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.0253598690032959
1709382398.2400649,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027002811431884766
1709382398.380549,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02588486671447754
1709382398.5188887,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02545452117919922
1709382398.6569314,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02598285675048828
1709382398.795307,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025713682174682617
1709382398.933795,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025478601455688477
1709382399.0717213,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02565479278564453
1709382399.209864,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025548934936523438
1709382399.3485034,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026812314987182617
1709382399.4884794,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02625274658203125
1709382399.6279287,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02612161636352539
1709382399.7667654,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026411056518554688
1709382399.905941,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025414705276489258
1709382400.0454104,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02696371078491211
1709382400.1854255,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026203632354736328
1709382400.3234646,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.024521827697753906
1709382400.4604878,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026048660278320312
1709382400.5990095,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026797056198120117
1709382400.7381032,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02918696403503418
1709382400.8820286,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.027384281158447266
1709382401.02136,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02640509605407715
1709382401.161016,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026630163192749023
1709382401.3002286,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025755882263183594
1709382401.4385135,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025604724884033203
1709382401.577167,43.0.celestial,del,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02720022201538086
1709382401.716879,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026261091232299805
1709382401.856649,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.026980876922607422
1709382401.9970038,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025737285614013672
1709382402.1353297,43.0.celestial,set,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.02677154541015625
1709382402.2744377,43.0.celestial,get,fail,Error 111 connecting to 43.0.celestial:6379. Connection refused.,0.025327682495117188
