t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1708879917.9939888,43.0.celestial,42.0.celestial,4646731.376647949,1132845.6401824951,899006,250117,1006,233647,166148,158662,71790,26899,166148,3513885.736465454,1969828,791724,3,26899,719959
1708879977.7500978,42.0.celestial,41.0.celestial,4411514.9974823,913023.9486694336,671261,125892,1106,108337,74158,69735,71793,26898,74158,3498491.048812866,2011633,780398,4,26898,696562
1708880057.7727973,41.0.celestial,40.0.celestial,4616097.211837769,947959.8999023438,744701,255019,101021,138344,99775,91267,71796,26901,99775,3668137.311935425,2133581,887861,4,26901,784602
1708880137.7855635,40.0.celestial,39.0.celestial,4614094.257354736,933590.8889770508,713608,147240,902,130302,95544,91069,71796,26901,95544,3680503.3683776855,2074342,834397,4,26901,745970
1708880217.8267765,39.0.celestial,38.0.celestial,4637873.17276001,995187.9978179932,789170,233192,101136,117536,81197,72705,71796,26901,81197,3642685.1749420166,2034182,770288,4,26901,692627
1708880303.0196772,38.0.celestial,37.0.celestial,4754079.103469849,968796.968460083,710952,143531,1131,127691,93406,87846,71796,26901,93406,3785282.1350097656,2166144,839653,4,26901,751587
1708880383.096682,37.0.celestial,36.0.celestial,4666781.902313232,1022189.6171569824,796693,223845,101311,107241,69771,61893,71796,26901,69771,3644592.28515625,2071285,828866,3,26901,745468
1708880463.0040708,36.0.celestial,35.0.celestial,4481688.737869263,957439.661026001,703119,143994,1146,127452,92255,85421,71796,26901,92255,3524249.0768432617,2006167,832308,4,26901,738560
1708880548.004807,35.0.celestial,34.0.celestial,4583250.7610321045,964217.9012298584,753949,240394,101336,124053,88239,82557,71796,26901,88239,3619032.859802246,2117969,814357,5,26901,754219
1708880627.8725414,34.0.celestial,33.0.celestial,4483852.6248931885,898029.5658111572,675924,138190,884,121575,82998,73093,71796,26901,82998,3585823.0590820312,2034273,792678,4,26901,723047
1708880712.907891,33.0.celestial,32.0.celestial,4618317.127227783,1006863.5940551758,798034,242972,100982,125067,86986,82390,71796,26901,86986,3611453.5331726074,2108897,821989,4,26901,736515
1708880792.8012466,32.0.celestial,31.0.celestial,4498639.822006226,913593.7690734863,700716,127682,831,110659,74682,68885,71796,26901,74682,3585046.0529327393,2017646,840664,4,26901,752896
1708880877.693189,31.0.celestial,30.0.celestial,4477915.525436401,880205.8696746826,685491,138754,1127,121205,85477,76687,71796,26901,85477,3597709.6557617188,2036409,819552,4,26901,734665
1708880958.0885413,30.0.celestial,29.0.celestial,4731871.128082275,1081588.0298614502,821986,244846,101107,125947,86497,78314,71796,26901,86497,3650283.098220825,2092132,837097,4,26901,758254
1708881043.2430506,29.0.celestial,28.0.celestial,4450986.862182617,868514.5378112793,660812,129885,1614,110278,72373,65012,71796,26901,72373,3582472.324371338,2034939,849181,4,26901,764409
1708881123.5316672,28.0.celestial,27.0.celestial,4631644.248962402,1046120.4051971436,809870,228971,101335,112329,74653,67467,71796,26901,74653,3585523.843765259,2037019,841520,4,26901,744895
1708881208.7375603,27.0.celestial,26.0.celestial,4502103.328704834,906505.3462982178,658257,138977,1122,122912,87026,78286,71796,26901,87026,3595597.982406616,2056825,821960,5,26901,742786
1708881293.9931033,26.0.celestial,25.0.celestial,4560199.26071167,875684.7381591797,676813,133737,913,116933,81126,74384,71796,26901,81126,3684514.5225524902,2129661,780546,4,26901,703755
1708881374.289087,25.0.celestial,24.0.celestial,4626538.7535095215,934993.0286407471,683726,134660,998,116549,80616,71254,71796,26901,80616,3691545.7248687744,2124653,815952,4,26901,753323
1708881459.593212,24.0.celestial,23.0.celestial,4598688.125610352,995180.8452606201,760993,237445,101412,117984,81538,72330,71796,26901,81538,3603507.2803497314,2048310,752920,3,26901,687856
1708881544.8151596,23.0.celestial,22.0.celestial,4501517.772674561,883320.5699920654,694576,120269,1035,103604,67766,63012,71796,26901,67766,3618197.202682495,2084501,812433,3,26901,750381
